yearsPlayed,age,G_all,weight,G_dh,birthCountry - Japan,height,birthCountry - Cuba,birthCountry - D.R.,birthCountry - Venezuela,birthCountry - Colombia,birthCountry - Jamaica,birthCountry - Honduras,birthCountry - France,birthCountry - V.I.,G_p,birthCountry - USA,NumPos,G_cf,G_rf,G_ss,G_2b,G_3b,G_c,G_lf
14.0,37.0,145.0,185.0,0.0,0,70.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,29.0,142.0,192.0,0.0,0,76.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,28.0,121.0,160.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,153.0,185.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,31.0,26.0,190.0,0.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,28.0,38.0,175.0,0.0,0,72.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,31.0,51.0,205.0,0.0,0,77.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,38.0,83.0,195.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13.0,40.0,99.0,170.0,0.0,0,69.0,0,0,0,0,0,0,0,0,0.0,1,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
13.0,35.0,97.0,185.0,0.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,31.0,161.0,190.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
12.0,34.0,20.0,190.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,26.0,153.0,175.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7.0,29.0,19.0,195.0,0.0,0,77.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,65.0,220.0,0.0,0,77.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,30.0,45.0,200.0,0.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,35.0,106.0,175.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
9.0,29.0,20.0,215.0,0.0,0,79.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,28.0,24.0,195.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,32.0,81.0,185.0,0.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
13.0,34.0,67.0,180.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,25.0,39.0,190.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,37.0,155.0,155.0,0.0,0,74.0,0,0,1,0,0,0,0,0,0.0,0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2.0,26.0,43.0,175.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,25.0,67.0,170.0,0.0,0,70.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,32.0,56.0,185.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,31.0,90.0,180.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4.0,29.0,15.0,185.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,30.0,145.0,173.0,0.0,0,71.0,0,0,0,0,0,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,29.0,152.0,185.0,0.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,34.0,160.0,230.0,0.0,0,77.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,28.0,17.0,188.0,0.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,43.0,72.0,175.0,0.0,0,74.0,1,0,0,0,0,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,30.0,64.0,215.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,29.0,26.0,220.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,29.0,101.0,180.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22.0,44.0,119.0,192.0,0.0,0,71.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,29.0,37.0,174.0,0.0,0,72.0,0,1,0,0,0,0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,33.0,200.0,0.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,36.0,185.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,73.0,205.0,0.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,28.0,77.0,185.0,0.0,0,70.0,0,0,0,0,0,0,0,0,0.0,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
11.0,34.0,46.0,185.0,1.0,0,73.0,0,0,0,0,0,0,0,0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,29.0,73.0,195.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,29.0,153.0,150.0,0.0,0,69.0,0,0,0,0,0,0,0,0,0.0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
15.0,34.0,23.0,200.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
